spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
336.0,3.0,5.0,7.0,384.0,0.77,0.67,1668221400.0,30.0,22.0,2.128,0.025,0.998,0.159,255.368
327.0,3.0,5.0,7.0,412.0,0.79,0.67,1680586100.0,30.0,22.0,0.0,0.025,0.997,0.16,251.832
328.0,3.0,5.0,7.0,408.0,0.78,0.66,1687996900.0,30.0,23.0,0.0,0.025,0.996,0.157,250.966
330.0,3.0,5.0,7.0,409.0,0.77,0.67,1675412500.0,30.0,23.0,0.0,0.023,0.996,0.174,243.454
331.0,3.0,5.0,6.0,418.0,0.77,0.66,1675712900.0,30.0,23.0,0.0,0.027,0.996,0.153,241.127
334.0,3.0,5.0,6.0,413.0,0.79,0.67,1673471100.0,31.0,23.0,0.0,0.027,0.996,0.154,239.42
324.0,3.0,5.0,7.0,425.0,0.78,0.66,1669831700.0,30.0,22.0,0.0,0.027,0.996,0.154,237.682
332.0,3.0,5.0,7.0,392.0,0.77,0.66,1676279000.0,30.0,23.0,0.0,0.023,0.997,0.185,232.263
329.0,3.0,5.0,7.0,428.0,0.77,0.66,1665318400.0,30.0,23.0,0.0,0.029,0.996,0.15,229.342
327.0,3.0,5.0,7.0,410.0,0.77,0.66,1679772200.0,30.0,21.0,0.0,0.027,0.997,0.166,225.16
331.0,3.0,5.0,7.0,396.0,0.78,0.67,1654815200.0,31.0,21.0,0.0,0.025,0.997,0.178,223.21
334.0,3.0,5.0,7.0,418.0,0.76,0.66,1657030300.0,30.0,22.0,0.0,0.028,0.996,0.162,220.899
333.0,3.0,5.0,7.0,419.0,0.77,0.67,1674403800.0,31.0,24.0,0.0,0.03,0.997,0.153,219.424
320.0,3.0,5.0,7.0,417.0,0.78,0.66,1683323400.0,30.0,22.0,0.0,0.027,0.996,0.174,212.75
330.0,3.0,5.0,7.0,404.0,0.77,0.67,1676513000.0,29.0,22.0,0.0,0.024,0.997,0.196,211.245
326.0,3.0,5.0,7.0,406.0,0.79,0.67,1698272600.0,30.0,22.0,0.0,0.024,0.996,0.198,209.332
329.0,3.0,5.0,7.0,410.0,0.77,0.67,1677408500.0,29.0,22.0,0.0,0.025,0.996,0.188,208.76
326.0,3.0,5.0,7.0,423.0,0.78,0.66,1661885800.0,30.0,23.0,0.0,0.028,0.995,0.17,207.546
327.0,3.0,5.0,7.0,411.0,0.78,0.67,1687984600.0,29.0,22.0,0.0,0.027,0.997,0.181,205.213
328.0,3.0,5.0,7.0,421.0,0.77,0.67,1659401500.0,30.0,21.0,0.0,0.03,0.996,0.173,194.424
325.0,3.0,5.0,7.0,414.0,0.77,0.67,1666352600.0,29.0,23.0,0.0,0.027,0.996,0.189,193.918
328.0,3.0,5.0,6.0,425.0,0.77,0.65,1666842100.0,30.0,22.0,0.0,0.028,0.995,0.185,190.737
333.0,3.0,5.0,6.0,424.0,0.77,0.66,1649801000.0,31.0,24.0,0.0,0.033,0.998,0.16,186.501
329.0,3.0,5.0,7.0,413.0,0.76,0.67,1670234200.0,29.0,22.0,0.0,0.027,0.995,0.2,185.225
329.0,3.0,5.0,7.0,425.0,0.78,0.67,1682896900.0,31.0,24.0,0.0,0.032,0.996,0.169,184.859
335.0,3.0,5.0,7.0,422.0,0.76,0.68,1652055000.0,31.0,23.0,0.0,0.03,0.995,0.178,184.699
332.0,3.0,5.0,6.0,431.0,0.76,0.66,1647443200.0,30.0,22.0,0.0,0.031,0.996,0.172,184.654
330.0,3.0,5.0,7.0,434.0,0.76,0.66,1672563000.0,30.0,22.0,0.0,0.03,0.994,0.188,178.77
322.0,3.0,5.0,7.0,427.0,0.78,0.67,1684753700.0,30.0,21.0,0.0,0.033,0.995,0.171,177.88
327.0,3.0,5.0,7.0,432.0,0.76,0.67,1695373300.0,30.0,23.0,0.0,0.03,0.994,0.185,177.035
325.0,3.0,5.0,7.0,414.0,0.77,0.66,1692920800.0,28.0,22.0,0.0,0.03,0.996,0.189,173.788
320.0,3.0,5.0,7.0,425.0,0.77,0.66,1666226700.0,30.0,21.0,0.0,0.032,0.995,0.183,170.119
325.0,3.0,5.0,7.0,404.0,0.77,0.67,1665772000.0,29.0,21.0,0.0,0.028,0.997,0.213,168.901
327.0,3.0,5.0,7.0,430.0,0.77,0.67,1669349900.0,30.0,24.0,0.0,0.032,0.995,0.183,167.772
327.0,3.0,5.0,7.0,431.0,0.76,0.66,1672590800.0,29.0,22.0,0.0,0.031,0.994,0.193,165.065
331.0,3.0,5.0,7.0,427.0,0.78,0.67,1684655500.0,30.0,21.0,0.0,0.033,0.995,0.184,163.013
330.0,3.0,5.0,7.0,438.0,0.76,0.66,1669080000.0,30.0,22.0,0.0,0.031,0.994,0.199,161.854
325.0,3.0,5.0,7.0,440.0,0.76,0.66,1663745300.0,32.0,22.0,0.0,0.032,0.996,0.191,161.755
331.0,3.0,5.0,7.0,396.0,0.77,0.67,1676191500.0,29.0,21.0,0.0,0.028,0.997,0.224,161.558
326.0,3.0,5.0,7.0,426.0,0.77,0.65,1675916800.0,29.0,23.0,0.0,0.032,0.994,0.195,160.267
326.0,3.0,5.0,7.0,413.0,0.77,0.66,1691878900.0,29.0,21.0,0.0,0.031,0.996,0.204,157.194
329.0,3.0,5.0,7.0,431.0,0.76,0.67,1674442800.0,30.0,24.0,0.0,0.034,0.995,0.187,157.171
329.0,3.0,5.0,7.0,433.0,0.77,0.66,1676616000.0,29.0,23.0,0.0,0.033,0.994,0.193,155.811
329.0,3.0,5.0,6.0,444.0,0.77,0.66,1660296800.0,31.0,23.0,0.0,0.032,0.996,0.2,155.612
325.0,3.0,5.0,7.0,432.0,0.76,0.66,1687869300.0,29.0,23.0,0.0,0.034,0.994,0.191,155.391
325.0,3.0,5.0,6.0,441.0,0.76,0.66,1675172900.0,31.0,23.0,0.0,0.031,0.995,0.209,155.226
324.0,3.0,5.0,7.0,406.0,0.77,0.67,1661876400.0,29.0,21.0,0.0,0.029,0.996,0.224,154.183
329.0,3.0,5.0,7.0,438.0,0.76,0.66,1667827200.0,30.0,23.0,0.0,0.032,0.995,0.202,153.371
320.0,3.0,5.0,7.0,423.0,0.78,0.66,1663029000.0,29.0,21.0,0.0,0.036,0.995,0.181,152.242
334.0,3.0,5.0,7.0,428.0,0.76,0.67,1647746700.0,30.0,21.0,0.0,0.035,0.994,0.189,151.139
335.0,3.0,5.0,7.0,441.0,0.76,0.67,1668098300.0,30.0,22.0,0.0,0.033,0.994,0.203,149.944
326.0,3.0,5.0,7.0,438.0,0.77,0.67,1671268600.0,30.0,24.0,0.0,0.034,0.994,0.197,148.239
334.0,3.0,5.0,6.0,435.0,0.76,0.67,1657895700.0,32.0,23.0,0.0,0.035,0.997,0.194,146.866
335.0,3.0,5.0,6.0,412.0,0.78,0.68,1681024800.0,33.0,24.0,0.0,0.039,0.996,0.176,146.271
328.0,3.0,5.0,7.0,450.0,0.77,0.67,1663437000.0,31.0,23.0,0.0,0.032,0.994,0.218,142.135
327.0,3.0,5.0,7.0,437.0,0.77,0.66,1660431400.0,29.0,21.0,0.0,0.037,0.994,0.192,139.176
325.0,3.0,5.0,7.0,408.0,0.77,0.66,1696040200.0,28.0,23.0,0.0,0.03,0.995,0.235,138.984
333.0,3.0,5.0,7.0,412.0,0.76,0.67,1658838400.0,29.0,21.0,0.0,0.033,0.995,0.223,135.136
322.0,3.0,5.0,7.0,407.0,0.78,0.66,1696826600.0,29.0,21.0,0.0,0.032,0.996,0.237,130.547
337.0,3.0,5.0,7.0,446.0,0.76,0.67,1643066800.0,31.0,22.0,0.0,0.034,0.993,0.227,127.075
331.0,3.0,5.0,7.0,442.0,0.76,0.67,1661159000.0,32.0,23.0,0.0,0.035,0.997,0.223,126.975
334.0,3.0,5.0,6.0,438.0,0.77,0.67,1654934500.0,32.0,24.0,0.0,0.04,0.997,0.217,116.309
326.0,3.0,5.0,7.0,435.0,0.78,0.66,1663050100.0,30.0,25.0,0.0,0.04,0.993,0.219,112.911
332.0,3.0,5.0,7.0,452.0,0.75,0.67,1655198700.0,31.0,22.0,0.0,0.035,0.992,0.254,111.677
328.0,3.0,4.0,7.0,388.0,0.77,0.66,1675646700.0,29.0,22.0,0.0,0.038,0.997,0.236,111.18
330.0,3.0,5.0,7.0,403.0,0.76,0.66,1653106300.0,27.0,22.0,0.0,0.033,0.994,0.275,110.259
322.0,3.0,5.0,7.0,450.0,0.76,0.67,1665363300.0,30.0,23.0,0.0,0.035,0.99,0.258,110.012
328.0,3.0,5.0,6.0,451.0,0.75,0.66,1664944500.0,31.0,23.0,0.0,0.035,0.996,0.257,109.66
328.0,3.0,5.0,7.0,449.0,0.76,0.66,1663728400.0,29.0,23.0,0.0,0.038,0.992,0.238,109.595
334.0,3.0,5.0,7.0,452.0,0.76,0.67,1653068900.0,31.0,23.0,0.0,0.036,0.994,0.254,109.113
321.0,3.0,5.0,7.0,454.0,0.76,0.66,1655008300.0,30.0,22.0,0.0,0.036,0.99,0.257,107.152
328.0,3.0,4.0,7.0,384.0,0.79,0.66,1660340700.0,29.0,22.0,2.12,0.042,0.997,0.221,106.969
331.0,3.0,5.0,7.0,451.0,0.76,0.67,1648293800.0,32.0,23.0,0.0,0.038,0.994,0.253,102.458
328.0,3.0,4.0,7.0,388.0,0.78,0.67,1673335900.0,30.0,21.0,0.0,0.04,0.997,0.247,101.41
319.0,3.0,5.0,7.0,454.0,0.77,0.66,1670224400.0,31.0,24.0,0.0,0.039,0.992,0.257,98.778
338.0,3.0,5.0,7.0,441.0,0.75,0.68,1663351400.0,31.0,24.0,0.0,0.041,0.993,0.249,97.291
332.0,3.0,4.0,7.0,399.0,0.77,0.67,1665697400.0,29.0,21.0,0.0,0.041,0.996,0.257,93.651
324.0,3.0,5.0,7.0,445.0,0.74,0.66,1641350900.0,29.0,22.0,0.0,0.039,0.988,0.269,93.393
324.0,3.0,4.0,7.0,402.0,0.79,0.66,1679481600.0,29.0,21.0,0.0,0.044,0.996,0.251,90.477
329.0,3.0,5.0,6.0,437.0,0.74,0.66,1635126800.0,32.0,24.0,0.0,0.043,0.996,0.257,90.19
328.0,3.0,4.0,7.0,395.0,0.79,0.67,1677463800.0,28.0,22.0,0.0,0.042,0.995,0.267,89.757
325.0,3.0,4.0,7.0,399.0,0.79,0.66,1689334300.0,29.0,21.0,0.0,0.043,0.995,0.259,88.485
327.0,3.0,4.0,7.0,399.0,0.77,0.67,1668265700.0,28.0,22.0,0.0,0.038,0.994,0.294,87.949
332.0,3.0,4.0,7.0,384.0,0.78,0.66,1675243800.0,29.0,21.0,0.0,0.046,0.996,0.249,87.192
323.0,3.0,5.0,7.0,456.0,0.75,0.66,1663293600.0,29.0,23.0,0.0,0.041,0.988,0.279,85.68
324.0,3.0,4.0,7.0,393.0,0.77,0.66,1676982900.0,29.0,20.0,0.0,0.046,0.996,0.256,85.498
333.0,3.0,4.0,7.0,394.0,0.77,0.66,1671437400.0,29.0,20.0,0.0,0.047,0.995,0.249,85.317
330.0,3.0,5.0,7.0,448.0,0.76,0.67,1677374000.0,30.0,25.0,0.0,0.043,0.991,0.273,84.087
331.0,3.0,5.0,7.0,443.0,0.77,0.68,1659926800.0,33.0,24.0,0.0,0.044,0.994,0.271,83.537
336.0,3.0,4.0,7.0,395.0,0.77,0.67,1665419800.0,29.0,20.0,0.0,0.047,0.995,0.257,81.823
327.0,3.0,5.0,7.0,466.0,0.75,0.67,1668099800.0,31.0,23.0,0.0,0.038,0.987,0.326,80.331
332.0,3.0,5.0,6.0,455.0,0.77,0.67,1664791900.0,32.0,24.0,0.0,0.043,0.995,0.291,80.27
323.0,3.0,4.0,7.0,396.0,0.78,0.66,1670897700.0,28.0,21.0,0.0,0.045,0.996,0.275,80.1
328.0,3.0,4.0,7.0,388.0,0.77,0.66,1677665000.0,28.0,21.0,0.0,0.046,0.997,0.278,78.456
324.0,3.0,4.0,7.0,406.0,0.77,0.66,1654529800.0,28.0,21.0,0.0,0.046,0.995,0.276,77.76
328.0,3.0,4.0,7.0,392.0,0.78,0.66,1678802300.0,29.0,20.0,0.0,0.047,0.996,0.274,76.802
329.0,3.0,4.0,7.0,384.0,0.79,0.66,1685513700.0,29.0,21.0,2.125,0.047,0.996,0.279,76.184
327.0,3.0,5.0,6.0,462.0,0.75,0.66,1662441300.0,32.0,23.0,0.0,0.041,0.992,0.317,75.917
323.0,3.0,4.0,7.0,396.0,0.78,0.66,1675633700.0,28.0,21.0,0.0,0.045,0.996,0.301,73.461
331.0,3.0,4.0,7.0,387.0,0.78,0.66,1673891700.0,28.0,21.0,0.0,0.048,0.996,0.286,72.638
330.0,3.0,4.0,7.0,384.0,0.78,0.67,1682944500.0,28.0,22.0,2.146,0.044,0.996,0.318,71.338
327.0,3.0,4.0,7.0,392.0,0.78,0.66,1678569200.0,28.0,21.0,0.0,0.046,0.995,0.309,70.272
323.0,3.0,4.0,7.0,391.0,0.78,0.67,1679976000.0,29.0,20.0,0.0,0.047,0.996,0.3,70.172
322.0,3.0,4.0,7.0,397.0,0.79,0.65,1689815400.0,28.0,21.0,0.0,0.049,0.995,0.293,69.473
326.0,3.0,4.0,7.0,389.0,0.77,0.66,1670814300.0,28.0,21.0,0.0,0.045,0.996,0.322,68.954
335.0,3.0,5.0,6.0,456.0,0.74,0.67,1646426900.0,31.0,24.0,0.0,0.045,0.994,0.32,68.805
328.0,3.0,4.0,7.0,384.0,0.79,0.66,1690056600.0,29.0,21.0,2.172,0.047,0.996,0.314,67.604
327.0,3.0,4.0,7.0,395.0,0.78,0.66,1686791300.0,28.0,20.0,0.0,0.05,0.996,0.294,67.566
331.0,3.0,5.0,7.0,467.0,0.75,0.68,1654233600.0,32.0,23.0,0.0,0.045,0.989,0.33,66.906
329.0,3.0,4.0,7.0,384.0,0.77,0.66,1674457500.0,29.0,20.0,2.155,0.048,0.996,0.315,65.785
329.0,3.0,5.0,6.0,464.0,0.75,0.66,1672537200.0,31.0,24.0,0.0,0.043,0.991,0.351,65.624
330.0,3.0,4.0,7.0,384.0,0.78,0.67,1686214300.0,29.0,20.0,2.124,0.05,0.995,0.313,63.805
326.0,3.0,5.0,7.0,466.0,0.75,0.67,1663899600.0,32.0,24.0,0.0,0.045,0.988,0.345,63.167
325.0,3.0,4.0,7.0,389.0,0.78,0.66,1678376200.0,28.0,20.0,0.0,0.051,0.996,0.31,63.051
333.0,3.0,5.0,6.0,443.0,0.76,0.66,1664624100.0,33.0,25.0,0.0,0.049,0.997,0.323,62.972
327.0,3.0,5.0,7.0,469.0,0.76,0.66,1669871200.0,32.0,24.0,0.0,0.045,0.99,0.348,62.782
322.0,3.0,4.0,7.0,394.0,0.78,0.66,1679626200.0,27.0,21.0,0.0,0.049,0.996,0.323,62.42
327.0,3.0,5.0,7.0,476.0,0.76,0.67,1667966700.0,31.0,24.0,0.0,0.043,0.985,0.369,61.509
328.0,3.0,4.0,7.0,384.0,0.77,0.66,1655691400.0,28.0,20.0,2.119,0.052,0.996,0.317,60.268
326.0,3.0,4.0,7.0,384.0,0.79,0.66,1682826100.0,28.0,21.0,2.139,0.049,0.996,0.341,59.589
328.0,3.0,4.0,7.0,386.0,0.77,0.66,1698930700.0,27.0,21.0,0.0,0.051,0.995,0.331,59.14
323.0,3.0,4.0,7.0,384.0,0.79,0.66,1673659900.0,28.0,21.0,2.12,0.049,0.996,0.345,58.47
328.0,3.0,5.0,6.0,446.0,0.77,0.67,1676346900.0,33.0,26.0,0.0,0.051,0.995,0.338,57.658
332.0,3.0,5.0,6.0,464.0,0.75,0.67,1666597600.0,31.0,25.0,0.0,0.048,0.991,0.357,57.653
331.0,3.0,5.0,6.0,459.0,0.75,0.66,1651741200.0,31.0,25.0,0.0,0.048,0.992,0.36,57.397
328.0,3.0,4.0,7.0,384.0,0.78,0.67,1665696800.0,28.0,20.0,2.178,0.052,0.997,0.336,56.835
329.0,3.0,5.0,6.0,458.0,0.77,0.67,1669015200.0,33.0,25.0,0.0,0.05,0.995,0.354,56.305
330.0,3.0,4.0,7.0,384.0,0.79,0.66,1691929300.0,28.0,21.0,2.134,0.051,0.995,0.353,55.372
324.0,3.0,4.0,7.0,385.0,0.77,0.66,1681580200.0,28.0,20.0,0.0,0.051,0.995,0.354,54.955
333.0,3.0,5.0,6.0,468.0,0.75,0.67,1658772100.0,31.0,25.0,0.0,0.05,0.989,0.363,54.645
334.0,3.0,5.0,6.0,464.0,0.75,0.67,1662207900.0,31.0,25.0,0.0,0.049,0.991,0.373,54.206
331.0,3.0,4.0,7.0,384.0,0.78,0.66,1672684800.0,27.0,21.0,2.163,0.052,0.996,0.369,51.889
325.0,3.0,5.0,6.0,464.0,0.75,0.67,1684888000.0,30.0,26.0,0.0,0.053,0.986,0.369,50.704
329.0,3.0,5.0,6.0,462.0,0.75,0.67,1665520100.0,31.0,26.0,0.0,0.051,0.989,0.382,50.515
331.0,3.0,5.0,6.0,452.0,0.76,0.67,1664627500.0,34.0,25.0,0.0,0.053,0.994,0.371,50.126
330.0,3.0,5.0,6.0,453.0,0.76,0.66,1659603800.0,33.0,26.0,0.0,0.055,0.995,0.366,49.006
324.0,3.0,4.0,7.0,384.0,0.79,0.66,1672268900.0,28.0,20.0,2.165,0.054,0.996,0.393,47.284
329.0,3.0,5.0,7.0,471.0,0.75,0.67,1667423600.0,32.0,25.0,0.0,0.052,0.987,0.408,46.676
339.0,3.0,5.0,6.0,461.0,0.75,0.67,1643081000.0,34.0,24.0,0.0,0.056,0.995,0.383,46.221
329.0,3.0,5.0,6.0,448.0,0.78,0.68,1695234000.0,34.0,26.0,0.0,0.059,0.992,0.368,45.721
334.0,3.0,5.0,6.0,452.0,0.76,0.66,1666658300.0,34.0,25.0,0.0,0.055,0.997,0.4,45.527
331.0,3.0,5.0,6.0,458.0,0.75,0.67,1651494700.0,34.0,25.0,0.0,0.057,0.996,0.387,45.136
331.0,3.0,5.0,6.0,471.0,0.75,0.66,1685057800.0,33.0,25.0,0.0,0.057,0.992,0.387,44.98
325.0,3.0,4.0,7.0,384.0,0.79,0.66,1685204700.0,28.0,20.0,2.208,0.054,0.996,0.415,44.533
336.0,3.0,5.0,6.0,480.0,0.75,0.67,1649149800.0,32.0,24.0,0.0,0.053,0.989,0.426,43.623
331.0,3.0,5.0,6.0,458.0,0.76,0.67,1673474300.0,33.0,26.0,0.0,0.056,0.992,0.409,43.592
330.0,3.0,5.0,6.0,484.0,0.75,0.67,1676207100.0,31.0,25.0,0.0,0.052,0.986,0.439,43.002
325.0,3.0,4.0,7.0,386.0,0.77,0.66,1661273100.0,27.0,19.0,0.0,0.059,0.995,0.402,42.323
327.0,3.0,4.0,7.0,384.0,0.77,0.66,1685604900.0,26.0,20.0,2.147,0.058,0.995,0.407,42.215
332.0,3.0,5.0,6.0,468.0,0.75,0.67,1665583400.0,33.0,25.0,0.0,0.056,0.991,0.427,41.618
329.0,3.0,4.0,7.0,384.0,0.78,0.66,1693846000.0,27.0,20.0,2.195,0.057,0.995,0.431,40.453
327.0,3.0,5.0,6.0,477.0,0.75,0.65,1663698400.0,32.0,25.0,0.0,0.055,0.986,0.441,40.355
326.0,3.0,4.0,7.0,384.0,0.78,0.66,1689771500.0,27.0,20.0,2.169,0.056,0.995,0.448,39.709
330.0,3.0,5.0,6.0,476.0,0.76,0.67,1676964100.0,33.0,26.0,0.0,0.06,0.989,0.444,37.171
326.0,3.0,5.0,6.0,483.0,0.76,0.66,1680768300.0,32.0,26.0,0.0,0.058,0.984,0.461,36.756
340.0,3.0,5.0,6.0,478.0,0.74,0.67,1635727100.0,33.0,24.0,0.0,0.059,0.991,0.461,36.302
336.0,3.0,5.0,6.0,451.0,0.76,0.68,1666503800.0,35.0,26.0,0.0,0.064,0.996,0.441,35.397
333.0,3.0,5.0,6.0,485.0,0.73,0.66,1616065800.0,32.0,24.0,0.0,0.059,0.982,0.477,35.06
327.0,3.0,5.0,6.0,490.0,0.74,0.66,1658475500.0,32.0,24.0,0.0,0.054,0.977,0.518,34.773
320.0,3.0,4.0,7.0,384.0,0.78,0.66,1676934400.0,26.0,19.0,2.136,0.065,0.996,0.45,34.229
336.0,3.0,5.0,6.0,485.0,0.76,0.67,1651379500.0,34.0,24.0,0.0,0.06,0.99,0.486,34.228
332.0,3.0,5.0,6.0,491.0,0.74,0.66,1656324700.0,32.0,25.0,0.0,0.061,0.983,0.489,33.108
331.0,3.0,5.0,6.0,474.0,0.75,0.67,1647106600.0,34.0,26.0,0.0,0.066,0.994,0.49,30.9
331.0,3.0,5.0,6.0,494.0,0.74,0.67,1666817500.0,32.0,25.0,0.0,0.06,0.976,0.53,30.771
333.0,3.0,5.0,6.0,481.0,0.76,0.67,1646736900.0,34.0,26.0,0.0,0.067,0.99,0.513,28.869
326.0,3.0,5.0,6.0,490.0,0.74,0.66,1682330400.0,33.0,26.0,0.0,0.066,0.976,0.57,26.051
340.0,3.0,5.0,6.0,483.0,0.74,0.67,1652664000.0,34.0,26.0,0.0,0.072,0.989,0.568,24.285
334.0,3.0,5.0,6.0,478.0,0.75,0.66,1665448000.0,34.0,28.0,0.003,0.076,0.984,0.587,22.121
327.0,3.0,5.0,6.0,497.0,0.74,0.67,1660898300.0,32.0,28.0,0.011,0.073,0.965,0.634,20.883
331.0,3.0,5.0,6.0,479.0,0.77,0.67,1695953200.0,36.0,28.0,0.003,0.08,0.984,0.599,20.587
333.0,3.0,5.0,6.0,497.0,0.75,0.67,1651454000.0,34.0,26.0,0.056,0.072,0.973,0.676,20.053
335.0,3.0,5.0,6.0,497.0,0.72,0.66,1629364600.0,33.0,26.0,0.013,0.075,0.971,0.648,19.989
337.0,3.0,5.0,6.0,497.0,0.74,0.67,1658261500.0,36.0,26.0,0.033,0.08,0.986,0.711,17.239
335.0,3.0,5.0,6.0,497.0,0.72,0.67,1647455700.0,35.0,27.0,0.038,0.084,0.973,0.738,15.638
339.0,3.0,5.0,6.0,497.0,0.73,0.67,1629549300.0,35.0,28.0,0.016,0.089,0.976,0.752,14.512
326.0,3.0,6.0,6.0,497.0,0.74,0.67,1672075500.0,34.0,26.0,0.083,0.091,0.954,0.744,14.152
335.0,3.0,6.0,6.0,497.0,0.73,0.68,1660829200.0,35.0,28.0,0.099,0.109,0.956,0.813,10.818
330.0,3.0,6.0,6.0,497.0,0.75,0.67,1657372400.0,36.0,28.0,0.077,0.106,0.957,0.834,10.783
337.0,3.0,6.0,6.0,497.0,0.73,0.68,1644778000.0,35.0,28.0,0.164,0.11,0.932,0.907,9.325
333.0,3.0,6.0,6.0,497.0,0.71,0.66,1613745900.0,36.0,27.0,0.119,0.112,0.935,0.932,8.986
328.0,3.0,6.0,6.0,497.0,0.72,0.67,1634353400.0,35.0,28.0,0.194,0.108,0.908,0.973,8.65
328.0,3.0,6.0,6.0,497.0,0.72,0.67,1663656700.0,36.0,28.0,0.17,0.109,0.897,1.009,8.131
336.0,3.0,6.0,6.0,497.0,0.73,0.68,1646888100.0,38.0,28.0,0.206,0.12,0.941,0.989,7.964
332.0,3.0,6.0,6.0,497.0,0.72,0.67,1658559400.0,36.0,28.0,0.302,0.111,0.835,1.17,6.438
spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
331.0,3.0,5.0,6.0,406.0,0.77,0.67,1690845400.0,31.0,22.0,0.0,0.021,0.999,0.077,611.594
321.0,3.0,5.0,7.0,401.0,0.76,0.67,1669378000.0,30.0,22.0,0.0,0.021,0.999,0.078,608.19
323.0,3.0,5.0,6.0,400.0,0.76,0.66,1673427200.0,31.0,23.0,0.0,0.021,0.999,0.084,566.78
323.0,3.0,5.0,6.0,405.0,0.76,0.66,1658262100.0,31.0,22.0,0.0,0.022,0.998,0.106,436.392
322.0,3.0,5.0,6.0,393.0,0.78,0.67,1678767400.0,30.0,22.0,0.0,0.022,0.999,0.113,403.788
322.0,3.0,5.0,7.0,410.0,0.75,0.66,1672401800.0,31.0,22.0,0.0,0.023,0.998,0.113,379.474
325.0,3.0,5.0,6.0,406.0,0.77,0.67,1691644500.0,31.0,21.0,0.0,0.024,0.998,0.109,372.836
327.0,3.0,5.0,7.0,396.0,0.78,0.67,1700009700.0,31.0,23.0,0.0,0.021,0.997,0.128,368.28
320.0,3.0,5.0,6.0,404.0,0.76,0.66,1659489000.0,31.0,23.0,0.0,0.024,0.998,0.124,340.453
325.0,3.0,5.0,7.0,408.0,0.78,0.67,1688516100.0,32.0,23.0,0.0,0.026,0.998,0.114,337.463
329.0,3.0,5.0,7.0,394.0,0.78,0.67,1669215000.0,30.0,22.0,0.0,0.021,0.998,0.143,330.534
327.0,3.0,5.0,6.0,409.0,0.75,0.67,1664970200.0,31.0,22.0,0.0,0.022,0.997,0.137,324.946
326.0,3.0,5.0,6.0,396.0,0.76,0.67,1636412900.0,30.0,22.0,0.0,0.022,0.997,0.147,313.89
328.0,3.0,5.0,7.0,398.0,0.78,0.67,1707913600.0,31.0,23.0,0.0,0.022,0.997,0.146,313.076
320.0,3.0,5.0,7.0,402.0,0.78,0.67,1667214600.0,30.0,22.0,0.0,0.022,0.997,0.147,304.507
321.0,3.0,5.0,7.0,404.0,0.78,0.66,1686830800.0,32.0,23.0,0.0,0.027,0.997,0.126,298.061
323.0,3.0,5.0,7.0,406.0,0.76,0.67,1676724000.0,31.0,21.0,0.0,0.025,0.997,0.143,282.676
328.0,3.0,5.0,6.0,405.0,0.76,0.67,1644646700.0,31.0,22.0,0.0,0.022,0.996,0.164,279.956
328.0,3.0,5.0,7.0,399.0,0.77,0.66,1666688300.0,31.0,23.0,0.0,0.02,0.996,0.182,277.96
327.0,3.0,5.0,6.0,415.0,0.76,0.67,1699365000.0,32.0,22.0,0.0,0.027,0.998,0.137,269.734
326.0,3.0,5.0,7.0,389.0,0.77,0.67,1682710800.0,30.0,22.0,0.0,0.02,0.998,0.181,268.929
325.0,3.0,5.0,7.0,388.0,0.76,0.67,1658052000.0,30.0,22.0,0.0,0.022,0.997,0.171,263.854
327.0,3.0,5.0,7.0,393.0,0.77,0.66,1695554000.0,30.0,22.0,0.0,0.021,0.997,0.184,256.553
322.0,3.0,5.0,7.0,415.0,0.76,0.66,1675574900.0,32.0,21.0,0.0,0.031,0.997,0.126,256.526
323.0,3.0,5.0,7.0,388.0,0.76,0.65,1654617300.0,29.0,22.0,0.0,0.028,0.999,0.138,256.167
325.0,3.0,5.0,7.0,401.0,0.78,0.67,1682043900.0,31.0,23.0,0.0,0.021,0.994,0.193,251.128
325.0,3.0,5.0,7.0,390.0,0.77,0.67,1685118700.0,30.0,21.0,0.0,0.025,0.998,0.173,230.48
327.0,3.0,5.0,6.0,417.0,0.77,0.67,1623535900.0,31.0,23.0,0.0,0.026,0.997,0.173,219.16
325.0,3.0,5.0,6.0,408.0,0.74,0.66,1671368800.0,32.0,22.0,0.0,0.027,0.995,0.171,217.681
321.0,3.0,5.0,7.0,400.0,0.76,0.66,1667102700.0,30.0,22.0,0.0,0.022,0.995,0.212,216.8
328.0,3.0,5.0,7.0,390.0,0.77,0.67,1698418200.0,30.0,23.0,0.0,0.023,0.996,0.199,215.644
331.0,3.0,5.0,7.0,412.0,0.78,0.68,1701654100.0,32.0,23.0,0.0,0.031,0.997,0.154,211.514
325.0,3.0,5.0,7.0,412.0,0.76,0.66,1682764900.0,32.0,22.0,0.0,0.025,0.995,0.187,211.015
