spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.87,1.0,6.0,7.0,0.68,31.0,1357867500.0,319.0,58.0,597.0,0.0,0.019,0.983,0.396,129.647
0.85,1.0,6.0,7.0,0.67,31.0,1331724800.0,315.0,58.0,590.0,0.0,0.018,0.976,0.424,128.919
0.88,1.0,6.0,7.0,0.67,32.0,1369591700.0,306.0,60.0,596.0,0.0,0.019,0.983,0.394,128.575
0.87,1.0,6.0,7.0,0.66,31.0,1361360000.0,303.0,59.0,598.0,0.0,0.019,0.977,0.407,128.391
0.87,1.0,6.0,7.0,0.67,32.0,1325243900.0,322.0,59.0,587.0,0.0,0.021,0.983,0.377,126.896
0.88,1.0,6.0,7.0,0.68,31.0,1359168500.0,317.0,58.0,594.0,0.0,0.019,0.979,0.402,126.667
0.89,1.0,6.0,7.0,0.68,31.0,1377272000.0,299.0,61.0,605.0,0.0,0.022,0.983,0.358,126.613
0.87,1.0,6.0,7.0,0.66,30.0,1351745700.0,306.0,59.0,590.0,0.0,0.02,0.977,0.394,126.574
0.88,1.0,6.0,7.0,0.67,32.0,1365090300.0,305.0,59.0,596.0,0.0,0.021,0.981,0.374,125.551
0.87,1.0,6.0,7.0,0.67,31.0,1353676400.0,321.0,58.0,583.0,0.0,0.019,0.978,0.418,125.476
0.89,1.0,6.0,7.0,0.68,31.0,1381904400.0,306.0,60.0,600.0,0.0,0.02,0.981,0.383,125.332
0.88,1.0,6.0,7.0,0.66,31.0,1365558400.0,304.0,59.0,597.0,0.0,0.02,0.978,0.399,124.602
0.9,1.0,6.0,7.0,0.66,32.0,1363689200.0,309.0,60.0,592.0,0.0,0.021,0.98,0.374,124.084
0.86,1.0,6.0,7.0,0.67,30.0,1350088800.0,314.0,58.0,595.0,0.0,0.019,0.981,0.406,123.909
0.86,1.0,6.0,7.0,0.67,31.0,1343325700.0,315.0,57.0,594.0,0.0,0.017,0.974,0.452,123.795
0.87,1.0,6.0,7.0,0.68,31.0,1310604300.0,323.0,59.0,589.0,0.0,0.02,0.983,0.404,122.578
0.88,1.0,6.0,7.0,0.65,31.0,1377292900.0,304.0,61.0,585.0,0.0,0.019,0.976,0.413,121.685
0.88,1.0,6.0,7.0,0.68,31.0,1320953100.0,323.0,59.0,584.0,0.0,0.021,0.98,0.384,121.197
0.86,1.0,6.0,7.0,0.68,31.0,1331121400.0,319.0,58.0,594.0,0.0,0.02,0.982,0.419,120.056
0.89,1.0,6.0,7.0,0.67,31.0,1384079900.0,302.0,60.0,605.0,0.0,0.021,0.979,0.385,119.808
0.86,1.0,6.0,7.0,0.67,32.0,1337189900.0,319.0,58.0,590.0,0.0,0.021,0.979,0.393,119.776
0.86,1.0,6.0,7.0,0.67,31.0,1330800900.0,325.0,59.0,583.0,0.0,0.02,0.98,0.417,119.384
0.87,1.0,6.0,7.0,0.67,31.0,1357283500.0,321.0,57.0,591.0,0.0,0.019,0.975,0.434,117.961
0.88,1.0,6.0,7.0,0.66,31.0,1392333300.0,301.0,60.0,597.0,0.0,0.021,0.981,0.394,117.829
0.86,1.0,6.0,7.0,0.67,30.0,1336460400.0,315.0,58.0,589.0,0.0,0.02,0.978,0.422,117.17
0.86,1.0,6.0,7.0,0.66,31.0,1366912300.0,308.0,58.0,594.0,0.0,0.019,0.979,0.433,116.033
0.88,1.0,6.0,7.0,0.66,32.0,1369969000.0,308.0,59.0,595.0,0.0,0.022,0.979,0.398,113.696
0.89,1.0,6.0,7.0,0.68,30.0,1367767200.0,302.0,60.0,602.0,0.0,0.024,0.982,0.358,113.269
0.88,1.0,6.0,7.0,0.66,32.0,1373517400.0,304.0,60.0,599.0,0.0,0.022,0.982,0.388,113.052
0.88,1.0,6.0,7.0,0.68,31.0,1361829600.0,320.0,58.0,597.0,0.0,0.021,0.979,0.416,112.706
0.86,1.0,6.0,7.0,0.68,31.0,1366540900.0,316.0,58.0,599.0,0.0,0.02,0.981,0.436,110.825
0.86,1.0,6.0,7.0,0.67,31.0,1353843600.0,319.0,57.0,592.0,0.0,0.019,0.972,0.46,110.258
0.87,1.0,6.0,7.0,0.68,31.0,1338088200.0,324.0,57.0,596.0,0.0,0.021,0.977,0.423,108.531
0.86,1.0,6.0,7.0,0.67,32.0,1344109300.0,316.0,57.0,594.0,0.0,0.021,0.979,0.43,108.36
0.87,1.0,6.0,7.0,0.67,32.0,1375006000.0,316.0,58.0,594.0,0.0,0.021,0.98,0.438,108.263
0.86,1.0,6.0,7.0,0.67,30.0,1336160900.0,316.0,58.0,589.0,0.0,0.02,0.972,0.453,106.923
0.87,1.0,6.0,7.0,0.68,32.0,1334311400.0,322.0,58.0,592.0,0.0,0.022,0.978,0.418,106.373
0.88,1.0,6.0,7.0,0.68,32.0,1355287400.0,312.0,58.0,604.0,0.0,0.022,0.981,0.415,106.302
0.87,1.0,6.0,7.0,0.67,32.0,1344485400.0,320.0,57.0,593.0,0.0,0.021,0.973,0.439,105.602
0.86,1.0,6.0,7.0,0.67,31.0,1317867300.0,323.0,58.0,582.0,0.0,0.022,0.976,0.432,104.446
0.85,1.0,6.0,7.0,0.67,31.0,1320209400.0,322.0,58.0,586.0,0.0,0.022,0.977,0.436,103.592
0.86,1.0,6.0,7.0,0.68,32.0,1352007000.0,320.0,58.0,595.0,0.0,0.023,0.982,0.425,100.268
0.86,1.0,6.0,7.0,0.68,31.0,1360519400.0,315.0,57.0,598.0,0.0,0.021,0.977,0.467,100.235
0.86,1.0,6.0,7.0,0.68,32.0,1352139000.0,321.0,58.0,596.0,0.0,0.024,0.98,0.427,97.341
0.87,1.0,6.0,7.0,0.68,32.0,1366712000.0,320.0,58.0,599.0,0.0,0.024,0.982,0.428,96.773
0.86,1.0,6.0,7.0,0.68,31.0,1337257100.0,325.0,57.0,593.0,0.0,0.022,0.973,0.454,96.14
0.87,1.0,6.0,7.0,0.67,31.0,1399135500.0,315.0,57.0,600.0,0.0,0.021,0.975,0.487,93.477
0.88,1.0,6.0,7.0,0.68,31.0,1384395800.0,321.0,58.0,596.0,0.0,0.023,0.979,0.463,92.923
0.86,1.0,6.0,7.0,0.68,31.0,1355805400.0,324.0,57.0,596.0,0.0,0.023,0.978,0.46,92.246
0.87,1.0,6.0,7.0,0.67,32.0,1393504500.0,316.0,58.0,599.0,0.0,0.023,0.981,0.466,91.969
0.87,1.0,6.0,7.0,0.68,31.0,1332485900.0,329.0,57.0,589.0,0.0,0.023,0.972,0.458,91.796
0.85,1.0,6.0,7.0,0.68,31.0,1358680300.0,322.0,57.0,594.0,0.0,0.023,0.98,0.456,91.658
0.87,1.0,6.0,7.0,0.68,31.0,1393135600.0,316.0,57.0,605.0,0.0,0.024,0.978,0.456,90.652
0.86,1.0,6.0,7.0,0.66,31.0,1386055700.0,303.0,58.0,601.0,0.0,0.024,0.975,0.458,89.761
0.85,1.0,6.0,7.0,0.66,31.0,1359636200.0,321.0,58.0,587.0,0.0,0.022,0.977,0.491,89.578
0.87,1.0,6.0,7.0,0.68,32.0,1332894700.0,324.0,57.0,594.0,0.0,0.025,0.975,0.443,89.489
0.84,1.0,6.0,7.0,0.67,31.0,1343894500.0,325.0,57.0,584.0,0.0,0.024,0.977,0.501,81.394
0.85,1.0,6.0,7.0,0.68,32.0,1351846300.0,322.0,57.0,594.0,0.0,0.026,0.978,0.468,79.988
0.86,1.0,6.0,7.0,0.68,32.0,1328923900.0,326.0,57.0,594.0,0.0,0.027,0.974,0.462,79.128
0.86,1.0,6.0,7.0,0.68,31.0,1355950500.0,327.0,56.0,594.0,0.0,0.025,0.97,0.49,78.556
0.84,1.0,6.0,7.0,0.67,32.0,1327831900.0,322.0,57.0,590.0,0.0,0.026,0.977,0.474,78.472
0.85,1.0,6.0,7.0,0.67,32.0,1325019800.0,325.0,57.0,588.0,0.0,0.027,0.976,0.472,77.732
0.86,1.0,6.0,7.0,0.67,32.0,1362122800.0,324.0,56.0,595.0,0.0,0.027,0.971,0.493,74.054
0.85,1.0,6.0,7.0,0.68,31.0,1380336900.0,323.0,57.0,597.0,0.0,0.026,0.981,0.517,73.296
0.87,1.0,6.0,7.0,0.68,31.0,1416891800.0,316.0,57.0,610.0,0.0,0.026,0.971,0.512,72.302
0.86,1.0,6.0,7.0,0.68,32.0,1339142900.0,330.0,56.0,589.0,0.0,0.029,0.972,0.478,70.493
0.86,1.0,6.0,7.0,0.68,32.0,1346828800.0,327.0,56.0,598.0,0.0,0.028,0.973,0.492,69.667
0.83,1.0,6.0,7.0,0.68,31.0,1369080300.0,321.0,57.0,595.0,0.0,0.026,0.981,0.546,68.159
0.85,1.0,6.0,7.0,0.68,32.0,1391598700.0,320.0,57.0,599.0,0.0,0.029,0.979,0.527,63.366
0.84,1.0,6.0,7.0,0.67,32.0,1342262000.0,331.0,56.0,592.0,0.0,0.029,0.971,0.544,61.113
0.86,1.0,6.0,7.0,0.68,32.0,1373109500.0,329.0,56.0,598.0,0.0,0.031,0.969,0.527,59.338
0.85,1.0,6.0,7.0,0.68,31.0,1381011300.0,325.0,55.0,602.0,0.0,0.03,0.97,0.562,56.744
0.85,1.0,6.0,7.0,0.68,32.0,1369766800.0,329.0,55.0,595.0,0.0,0.033,0.969,0.544,54.136
0.85,1.0,6.0,7.0,0.68,32.0,1356957700.0,336.0,55.0,592.0,0.0,0.034,0.965,0.548,52.265
0.83,1.0,5.0,7.0,0.69,32.0,1408630300.0,329.0,55.0,600.0,0.0,0.057,0.972,0.696,24.462
spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
0.53,1.0,5.0,4.0,0.65,47.0,1288761000.0,484.0,43.0,535.0,2.203,0.004,0.997,0.17,1353.608
0.52,1.0,5.0,4.0,0.65,47.0,1317872100.0,474.0,42.0,548.0,2.051,0.009,0.998,0.155,678.353
0.51,1.0,5.0,4.0,0.65,47.0,1258270500.0,474.0,43.0,535.0,2.145,0.009,0.996,0.196,582.208
0.5,1.0,5.0,4.0,0.65,47.0,1279168400.0,470.0,43.0,536.0,2.056,0.01,0.997,0.18,573.083
0.5,1.0,5.0,4.0,0.65,48.0,1277642500.0,484.0,43.0,535.0,6.418,0.009,0.998,0.192,562.189
0.51,1.0,5.0,4.0,0.66,47.0,1294707600.0,465.0,43.0,535.0,0.01,0.009,0.997,0.195,547.848
0.5,1.0,5.0,4.0,0.66,47.0,1265620000.0,494.0,43.0,535.0,4.45,0.009,0.997,0.215,528.137
0.5,1.0,5.0,4.0,0.66,47.0,1284545200.0,482.0,42.0,537.0,6.34,0.01,0.997,0.186,511.399
0.5,1.0,5.0,4.0,0.66,48.0,1283954200.0,476.0,43.0,543.0,2.104,0.012,0.998,0.167,486.418
0.51,1.0,5.0,4.0,0.65,47.0,1248113900.0,481.0,43.0,530.0,2.24,0.009,0.995,0.233,472.851
0.5,1.0,5.0,4.0,0.66,47.0,1287234000.0,469.0,43.0,535.0,6.325,0.011,0.996,0.195,464.749
0.5,1.0,5.0,4.0,0.65,47.0,1292639200.0,478.0,43.0,555.0,4.422,0.01,0.996,0.221,460.983
0.52,1.0,5.0,4.0,0.66,47.0,1326427400.0,470.0,43.0,550.0,0.055,0.011,0.998,0.206,459.306
0.5,1.0,5.0,4.0,0.66,47.0,1250077200.0,491.0,43.0,530.0,6.423,0.01,0.998,0.213,455.878
0.5,1.0,5.0,4.0,0.65,47.0,1287358200.0,464.0,43.0,543.0,4.255,0.011,0.996,0.214,430.527
0.5,1.0,5.0,4.0,0.66,48.0,1260139800.0,487.0,43.0,539.0,2.202,0.011,0.998,0.21,426.363
0.51,1.0,5.0,4.0,0.65,47.0,1245372200.0,484.0,42.0,547.0,2.203,0.011,0.995,0.238,376.175
0.5,1.0,5.0,4.0,0.65,47.0,1236420100.0,485.0,43.0,543.0,4.45,0.01,0.995,0.253,375.495
0.51,1.0,5.0,4.0,0.65,48.0,1251005200.0,478.0,42.0,533.0,2.141,0.013,0.997,0.202,370.504
0.52,1.0,5.0,4.0,0.66,47.0,1303887500.0,472.0,43.0,563.0,2.064,0.011,0.996,0.253,364.211
0.5,1.0,5.0,4.0,0.65,48.0,1260502300.0,496.0,43.0,527.0,6.474,0.012,0.998,0.235,364.068
0.54,1.0,5.0,4.0,0.65,47.0,1307945500.0,464.0,43.0,537.0,2.074,0.011,0.996,0.259,363.557
0.52,1.0,5.0,4.0,0.64,47.0,1239067900.0,471.0,43.0,532.0,2.117,0.011,0.994,0.253,357.825
0.5,1.0,5.0,4.0,0.66,47.0,1255753000.0,473.0,43.0,543.0,4.354,0.013,0.996,0.216,356.367
0.51,1.0,5.0,4.0,0.66,47.0,1261218000.0,472.0,43.0,550.0,2.122,0.012,0.995,0.232,353.861
0.5,1.0,5.0,4.0,0.66,47.0,1233207700.0,493.0,43.0,530.0,4.426,0.012,0.997,0.237,350.451
0.51,1.0,5.0,4.0,0.65,46.0,1278031600.0,458.0,43.0,536.0,2.029,0.012,0.995,0.23,348.649
0.5,1.0,5.0,4.0,0.65,47.0,1252233900.0,486.0,43.0,513.0,6.453,0.013,0.998,0.227,344.707
0.52,1.0,5.0,4.0,0.66,48.0,1312545700.0,475.0,43.0,563.0,2.14,0.013,0.996,0.227,338.333
0.5,1.0,5.0,4.0,0.64,48.0,1292513800.0,487.0,42.0,526.0,6.49,0.013,0.998,0.228,336.376
0.5,1.0,5.0,4.0,0.65,48.0,1242457300.0,476.0,43.0,528.0,4.316,0.015,0.997,0.203,330.107
0.5,1.0,5.0,4.0,0.65,47.0,1255012100.0,475.0,43.0,545.0,6.472,0.011,0.995,0.267,325.557
0.53,1.0,5.0,4.0,0.64,47.0,1286560000.0,460.0,43.0,523.0,2.06,0.013,0.995,0.233,324.891
0.5,1.0,5.0,4.0,0.66,47.0,1231909900.0,483.0,43.0,531.0,4.424,0.013,0.996,0.235,323.159
0.5,1.0,5.0,4.0,0.65,47.0,1229845600.0,488.0,43.0,525.0,4.454,0.012,0.996,0.264,317.898
0.54,1.0,5.0,4.0,0.66,47.0,1314245800.0,476.0,43.0,554.0,2.114,0.013,0.996,0.246,312.892
0.51,1.0,5.0,4.0,0.63,47.0,1271874800.0,464.0,43.0,538.0,2.135,0.012,0.993,0.26,312.114
0.5,1.0,5.0,4.0,0.64,48.0,1268808000.0,488.0,43.0,542.0,6.634,0.011,0.997,0.302,304.977
0.51,1.0,5.0,4.0,0.64,47.0,1236729000.0,476.0,43.0,533.0,2.244,0.012,0.994,0.28,298.131
0.52,1.0,5.0,4.0,0.65,46.0,1287832800.0,456.0,44.0,534.0,2.095,0.013,0.994,0.27,287.091
0.5,1.0,5.0,4.0,0.65,48.0,1248759900.0,496.0,43.0,520.0,6.506,0.014,0.999,0.251,286.973
0.5,1.0,5.0,4.0,0.65,47.0,1267111400.0,471.0,44.0,543.0,6.456,0.013,0.994,0.261,286.931
0.51,1.0,5.0,4.0,0.64,47.0,1237058600.0,471.0,43.0,535.0,2.218,0.013,0.993,0.279,284.461
0.52,1.0,5.0,4.0,0.64,47.0,1279572500.0,458.0,43.0,552.0,2.149,0.012,0.992,0.292,282.89
0.5,1.0,5.0,4.0,0.64,47.0,1236405500.0,482.0,42.0,537.0,2.204,0.014,0.995,0.248,282.633
0.53,1.0,5.0,4.0,0.64,47.0,1282668200.0,452.0,43.0,537.0,2.039,0.012,0.993,0.286,277.769
0.5,1.0,5.0,4.0,0.65,48.0,1239692800.0,478.0,43.0,538.0,6.497,0.013,0.995,0.285,271.464
0.53,1.0,5.0,4.0,0.65,46.0,1309266400.0,453.0,43.0,541.0,2.037,0.013,0.995,0.274,268.984
0.5,1.0,5.0,4.0,0.65,47.0,1260397000.0,485.0,43.0,519.0,6.663,0.011,0.995,0.331,267.702
0.51,1.0,5.0,4.0,0.64,47.0,1236268300.0,469.0,43.0,528.0,2.156,0.014,0.994,0.261,266.622
0.5,1.0,5.0,4.0,0.65,47.0,1238537600.0,478.0,43.0,531.0,6.589,0.012,0.995,0.309,266.276
0.5,1.0,5.0,4.0,0.64,47.0,1269504800.0,465.0,43.0,516.0,4.089,0.017,0.995,0.226,263.757
0.52,1.0,5.0,4.0,0.65,45.0,1285099800.0,455.0,43.0,532.0,0.039,0.013,0.995,0.288,257.798
0.51,1.0,5.0,4.0,0.65,46.0,1291897300.0,455.0,44.0,544.0,2.058,0.015,0.994,0.257,257.351
0.51,1.0,5.0,4.0,0.67,46.0,1280143100.0,470.0,43.0,551.0,0.071,0.015,0.995,0.262,254.567
0.5,1.0,5.0,4.0,0.64,47.0,1231120400.0,481.0,43.0,509.0,2.102,0.018,0.996,0.224,251.184
0.5,1.0,5.0,4.0,0.65,47.0,1248229100.0,465.0,43.0,525.0,6.363,0.015,0.994,0.264,249.255
0.5,1.0,5.0,4.0,0.64,47.0,1224390300.0,478.0,43.0,530.0,4.428,0.015,0.995,0.268,248.996
0.51,1.0,5.0,4.0,0.65,46.0,1264953700.0,468.0,43.0,504.0,2.023,0.017,0.995,0.232,247.837
0.5,1.0,5.0,4.0,0.64,47.0,1277193100.0,477.0,43.0,507.0,6.475,0.015,0.996,0.269,241.438
0.52,1.0,5.0,4.0,0.65,46.0,1267561900.0,453.0,43.0,522.0,0.026,0.015,0.993,0.277,240.613
0.5,1.0,5.0,4.0,0.65,48.0,1256494100.0,479.0,43.0,505.0,6.409,0.017,0.997,0.247,230.672
0.5,1.0,5.0,4.0,0.65,47.0,1276114000.0,463.0,44.0,551.0,2.186,0.016,0.993,0.276,229.281
0.5,1.0,5.0,4.0,0.65,47.0,1220384300.0,483.0,43.0,523.0,6.532,0.014,0.995,0.314,226.956
0.5,1.0,5.0,4.0,0.64,48.0,1261947300.0,471.0,43.0,522.0,4.223,0.017,0.996,0.257,226.924
0.51,1.0,5.0,4.0,0.65,47.0,1259873500.0,460.0,44.0,517.0,4.106,0.017,0.994,0.256,226.208
0.5,1.0,5.0,4.0,0.64,48.0,1257270100.0,473.0,43.0,544.0,6.501,0.015,0.994,0.292,224.541
0.53,1.0,5.0,4.0,0.66,47.0,1294941700.0,456.0,43.0,560.0,2.068,0.015,0.994,0.304,221.869
0.5,1.0,5.0,4.0,0.65,48.0,1245873800.0,479.0,44.0,540.0,6.556,0.015,0.995,0.302,221.81
0.5,1.0,5.0,4.0,0.64,47.0,1265436700.0,479.0,42.0,502.0,4.332,0.019,0.996,0.238,219.171
0.5,1.0,5.0,4.0,0.65,48.0,1227939300.0,492.0,42.0,520.0,6.464,0.017,0.997,0.269,218.233
0.5,1.0,5.0,4.0,0.65,48.0,1234462000.0,497.0,42.0,527.0,6.536,0.016,0.998,0.283,217.767
0.5,1.0,5.0,4.0,0.64,48.0,1236072200.0,486.0,42.0,520.0,6.396,0.019,0.997,0.246,217.159
0.5,1.0,5.0,4.0,0.65,47.0,1257034600.0,456.0,43.0,524.0,4.185,0.016,0.992,0.285,211.272
0.5,1.0,5.0,4.0,0.65,48.0,1226661600.0,491.0,43.0,528.0,6.702,0.013,0.996,0.371,205.441
0.51,1.0,5.0,4.0,0.64,47.0,1236160100.0,459.0,43.0,523.0,2.124,0.017,0.992,0.28,205.205
0.51,1.0,5.0,4.0,0.65,46.0,1294635000.0,447.0,44.0,539.0,4.132,0.016,0.991,0.312,204.416
0.5,1.0,5.0,4.0,0.64,48.0,1266763800.0,482.0,42.0,519.0,6.547,0.017,0.997,0.283,203.242
0.5,1.0,5.0,4.0,0.65,48.0,1254804700.0,468.0,42.0,524.0,6.472,0.019,0.995,0.264,202.315
0.5,1.0,5.0,4.0,0.65,48.0,1210010600.0,490.0,43.0,518.0,4.487,0.016,0.996,0.3,202.198
0.5,1.0,5.0,4.0,0.65,47.0,1268795900.0,454.0,44.0,543.0,6.39,0.017,0.992,0.296,201.377
0.52,1.0,5.0,4.0,0.65,46.0,1259589100.0,449.0,44.0,534.0,2.073,0.016,0.992,0.302,199.458
0.5,1.0,5.0,4.0,0.64,47.0,1247145900.0,472.0,43.0,502.0,4.143,0.02,0.995,0.255,199.311
0.5,1.0,5.0,4.0,0.64,48.0,1221095700.0,488.0,42.0,525.0,4.444,0.019,0.996,0.27,198.904
0.5,1.0,5.0,4.0,0.64,48.0,1229134800.0,481.0,43.0,520.0,6.485,0.018,0.996,0.283,196.071
0.52,1.0,5.0,4.0,0.64,46.0,1313445900.0,451.0,42.0,528.0,0.025,0.017,0.994,0.292,195.009
0.5,1.0,5.0,4.0,0.64,47.0,1242754200.0,479.0,43.0,499.0,6.413,0.019,0.995,0.268,194.531
0.5,1.0,5.0,4.0,0.66,48.0,1229015300.0,496.0,43.0,526.0,6.64,0.016,0.997,0.325,194.347
0.5,1.0,5.0,4.0,0.64,47.0,1226219000.0,474.0,43.0,520.0,6.473,0.017,0.995,0.294,193.61
0.5,1.0,5.0,4.0,0.64,48.0,1234354200.0,494.0,43.0,519.0,6.61,0.016,0.997,0.317,193.146
0.5,1.0,5.0,4.0,0.64,47.0,1229061400.0,468.0,43.0,516.0,2.13,0.019,0.994,0.27,191.384
0.5,1.0,5.0,4.0,0.65,48.0,1236849500.0,492.0,42.0,509.0,6.506,0.018,0.998,0.284,191.325
0.5,1.0,5.0,4.0,0.64,47.0,1299056100.0,460.0,44.0,519.0,6.413,0.018,0.992,0.29,190.738
0.5,1.0,5.0,4.0,0.64,48.0,1231532000.0,482.0,43.0,529.0,6.594,0.016,0.995,0.329,190.532
0.5,1.0,5.0,4.0,0.65,47.0,1228087300.0,470.0,43.0,516.0,6.523,0.017,0.994,0.306,187.266
0.5,1.0,5.0,4.0,0.64,47.0,1259943400.0,474.0,42.0,499.0,6.334,0.021,0.995,0.253,186.201
0.5,1.0,5.0,4.0,0.65,47.0,1254092500.0,457.0,44.0,544.0,6.434,0.017,0.991,0.309,185.117
0.53,1.0,5.0,4.0,0.65,47.0,1337117700.0,453.0,43.0,562.0,2.051,0.017,0.993,0.308,184.971
0.5,1.0,5.0,4.0,0.65,47.0,1222973000.0,481.0,42.0,506.0,6.458,0.02,0.996,0.276,183.591
0.52,1.0,5.0,4.0,0.66,47.0,1343768600.0,457.0,43.0,571.0,2.053,0.018,0.993,0.299,180.472
0.5,1.0,5.0,4.0,0.65,48.0,1223561300.0,500.0,42.0,526.0,6.565,0.018,0.997,0.316,176.685
0.5,1.0,5.0,4.0,0.67,46.0,1325150200.0,458.0,44.0,545.0,2.063,0.022,0.993,0.27,168.962
0.5,1.0,5.0,4.0,0.65,46.0,1222071200.0,478.0,43.0,499.0,4.321,0.021,0.994,0.275,168.273
0.5,1.0,5.0,4.0,0.64,48.0,1212034200.0,489.0,43.0,526.0,6.625,0.017,0.995,0.358,168.123
0.5,1.0,5.0,4.0,0.63,48.0,1244828900.0,488.0,42.0,519.0,6.564,0.019,0.997,0.31,166.111
0.5,1.0,5.0,4.0,0.64,48.0,1223677300.0,497.0,42.0,526.0,2.301,0.019,0.996,0.322,165.247
0.5,1.0,5.0,4.0,0.64,48.0,1220893700.0,497.0,43.0,518.0,6.577,0.018,0.997,0.335,163.97
0.52,1.0,5.0,4.0,0.65,46.0,1249790600.0,452.0,43.0,506.0,0.029,0.019,0.991,0.311,163.891
0.5,1.0,5.0,4.0,0.65,48.0,1214890000.0,496.0,42.0,514.0,6.519,0.02,0.997,0.307,162.98
0.51,1.0,5.0,4.0,0.65,46.0,1236220500.0,463.0,43.0,498.0,2.06,0.022,0.992,0.282,162.03
0.5,1.0,5.0,4.0,0.64,48.0,1242694100.0,481.0,41.0,517.0,6.544,0.022,0.997,0.279,161.583
0.54,1.0,5.0,4.0,0.66,46.0,1280994800.0,449.0,43.0,533.0,0.032,0.018,0.994,0.348,158.56
0.55,1.0,5.0,4.0,0.65,47.0,1361135900.0,455.0,43.0,539.0,0.045,0.018,0.995,0.341,158.019
0.5,1.0,5.0,4.0,0.63,48.0,1243320700.0,491.0,42.0,525.0,6.717,0.018,0.997,0.359,156.824
0.5,1.0,5.0,4.0,0.66,47.0,1208182700.0,478.0,43.0,504.0,6.418,0.021,0.994,0.305,154.957
0.5,1.0,5.0,4.0,0.63,47.0,1235307600.0,458.0,43.0,524.0,2.128,0.021,0.991,0.31,153.859
0.5,1.0,5.0,4.0,0.65,47.0,1186422000.0,490.0,43.0,513.0,6.62,0.017,0.995,0.384,152.015
0.51,1.0,5.0,4.0,0.65,46.0,1283771600.0,445.0,44.0,552.0,2.101,0.019,0.989,0.34,151.663
0.5,1.0,5.0,4.0,0.65,47.0,1235295500.0,458.0,43.0,502.0,4.064,0.022,0.991,0.304,149.634
0.51,1.0,5.0,4.0,0.65,46.0,1323307800.0,447.0,45.0,531.0,2.05,0.021,0.991,0.321,145.798
0.5,1.0,5.0,4.0,0.64,48.0,1203787300.0,477.0,43.0,523.0,6.545,0.02,0.994,0.339,145.672
0.5,1.0,5.0,4.0,0.66,48.0,1199656400.0,489.0,43.0,523.0,6.659,0.018,0.995,0.38,145.421
0.5,1.0,5.0,4.0,0.63,48.0,1242811900.0,493.0,42.0,516.0,6.657,0.02,0.998,0.348,144.372
0.53,1.0,5.0,4.0,0.64,46.0,1302239700.0,441.0,43.0,521.0,2.019,0.02,0.99,0.354,142.874
0.52,1.0,5.0,4.0,0.65,48.0,1343860200.0,452.0,43.0,577.0,2.07,0.021,0.99,0.332,141.256
0.5,1.0,5.0,4.0,0.64,47.0,1224401000.0,464.0,43.0,512.0,6.531,0.021,0.992,0.334,140.69
0.5,1.0,5.0,4.0,0.65,48.0,1227583400.0,500.0,41.0,518.0,6.609,0.021,0.998,0.335,139.556
0.54,1.0,5.0,4.0,0.67,46.0,1344273200.0,468.0,43.0,560.0,0.103,0.022,0.996,0.33,139.383
0.53,1.0,5.0,4.0,0.65,46.0,1283603500.0,437.0,44.0,532.0,0.004,0.019,0.989,0.372,137.519
0.5,1.0,5.0,4.0,0.66,46.0,1266345700.0,448.0,44.0,534.0,6.355,0.022,0.989,0.335,137.322
0.5,1.0,5.0,4.0,0.64,48.0,1223880100.0,482.0,43.0,511.0,6.662,0.02,0.995,0.366,137.232
0.52,1.0,5.0,4.0,0.66,46.0,1301860000.0,454.0,44.0,569.0,2.112,0.02,0.991,0.365,136.806
0.53,1.0,5.0,4.0,0.64,47.0,1311393800.0,447.0,43.0,568.0,2.091,0.019,0.99,0.378,135.626
0.5,1.0,5.0,4.0,0.63,48.0,1225477500.0,492.0,42.0,517.0,6.67,0.021,0.997,0.357,134.327
0.5,1.0,5.0,4.0,0.64,48.0,1226474500.0,495.0,42.0,507.0,6.601,0.022,0.997,0.349,131.729
0.5,1.0,5.0,4.0,0.64,48.0,1199141500.0,488.0,42.0,516.0,6.591,0.022,0.996,0.348,130.812
0.54,1.0,5.0,4.0,0.65,46.0,1316629500.0,442.0,44.0,529.0,0.004,0.022,0.992,0.352,130.087
0.5,1.0,5.0,4.0,0.66,47.0,1192638300.0,485.0,43.0,516.0,6.71,0.019,0.993,0.412,130.045
0.5,1.0,5.0,4.0,0.64,48.0,1205811800.0,500.0,42.0,517.0,6.572,0.022,0.997,0.348,127.957
0.5,1.0,5.0,4.0,0.64,48.0,1221891500.0,491.0,42.0,496.0,6.55,0.023,0.997,0.337,127.369
0.5,1.0,5.0,4.0,0.65,47.0,1196727900.0,489.0,44.0,510.0,6.72,0.019,0.994,0.408,126.096
0.5,1.0,5.0,4.0,0.64,48.0,1224817900.0,489.0,43.0,510.0,6.814,0.018,0.996,0.428,125.951
